tuid,source,target,formality_type
13,"Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, ""If you please, sir—"" The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.","Alice se trouvait si malheureuse, qu'elle était disposée à demander secours au premier venu; ainsi, quand le Lapin fut près d'elle, elle lui dit d'une voix humble et timide, ""Je vous en prie, Monsieur--"" Le Lapin tressaillit d'épouvante, laissa tomber les gants et l'éventail, se mit à courir à toutes jambes et disparut dans les ténèbres.",Formal
14,"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: ""Dear, dear! How queer everything is to-day! And yesterday things went on just as usual.","Alice ramassa les gants et l'éventail, et, comme il faisait très-chaud dans cette salle, elle s'éventa tout en se faisant la conversation: ""Que tout est étrange, aujourd'hui! Hier les choses se passaient comme à l'ordinaire.",Not Applicable
15,I wonder if I've been changed in the night? Let me think: was I the same when I got up this morning? I almost think I can remember feeling a little different.,"Peut-être m'a-t-on changée cette nuit! Voyons, étais-je la même petite fille ce matin en me levant? --Je crois bien me rappeler que je me suis trouvée un peu différente.",Not Applicable
16,"But if I'm not the same, the next question is, Who in the world am I? Ah, that's the great puzzle!"" And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.","--Mais si je ne suis pas la même, qui suis-je donc, je vous prie? Voilà l'embarras."" Elle se mit à passer en revue dans son esprit toutes les petites filles de son âge qu'elle connaissait, pour voir si elle avait été transformée en l'une d'elles.",Formal
17,"""I'm sure I'm not Ada,"" she said, ""for her hair goes in such long ringlets, and mine doesn't go in ringlets at all; and I'm sure I can't be Mabel, for I know all sorts of things, and she, oh! she knows such a very little! Besides, she's she, and I'm I, and—oh dear, how puzzling it all is!","""Bien sûr, je ne suis pas Ada,"" dit-elle. ""Elle a de longs cheveux bouclés et les miens ne frisent pas du tout. --Assurément je ne suis pas Mabel, car je sais tout plein de choses et Mabel ne sait presque rien; et puis, du reste, Mabel, c'est Mabel; Alice, c'est Alice! --Oh! mais quelle énigme que cela!",Not Applicable
18,"I'll try if I know all the things I used to know. Let me see: four times five is twelve, and four times six is thirteen, and four times seven is—oh dear! I shall never get to twenty at that rate! However, the Multiplication Table doesn't signify: let's try Geography.","--Voyons si je me souviendrai de tout ce que je savais: quatre fois cinq font douze, quatre fois six font treize, quatre fois sept font---- je n'arriverai jamais à vingt de ce train-là. Mais peu importe la table de multiplication. Essayons de la Géographie:",Not Applicable
19,"London is the capital of Paris, and Paris is the capital of Rome, and Rome—no, that's all wrong, I'm certain! I must have been changed for Mabel! I'll try and say 'How doth the little—'"" and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:—","Londres est la capitale de Paris, Paris la capitale de Rome, et Rome la capitale de--Mais non, ce n'est pas cela, j'en suis bien sûre! Je dois être changée en Mabel! --Je vais tâcher de réciter Maître Corbeau."" Elle croisa les mains sur ses genoux comme quand elle disait ses leçons, et se mit à répéter la fable, d'une voix rauque et étrange, et les mots ne se présentaient plus comme autrefois:",Not Applicable
20,"""How doth the little crocodile
Improve his shining tail,
And pour the waters of the Nile
On every golden scale!
""How cheerfully he seems to grin,
How neatly spread his claws,
And welcome little fishes in
With gently smiling jaws!""","""Maître Corbeau sur un arbre perché,
Faisait son nid entre des branches;
Il avait relevé ses manches,
Car il était très-affairé.
Maître Renard, par là passant,
Lui dit: 'Descendez donc, compère;
Venez embrasser votre frère.'
Le Corbeau, le reconnaissant,
Lui répondit en son ramage:
'Fromage.'""",Formal
21,"""I'm sure those are not the right words,"" said poor Alice, and her eyes filled with tears again as she went on, ""I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh! ever so many lessons to learn!","""Je suis bien sûre que ce n'est pas ça du tout,"" s'écria la pauvre Alice, et ses yeux se remplirent de larmes. ""Ah! je le vois bien, je ne suis plus Alice, je suis Mabel, et il me faudra aller vivre dans cette vilaine petite maison, où je n'aurai presque pas de jouets pour m'amuser. --Oh! que de leçons on me fera apprendre!",Formal
22,"No, I've made up my mind about it; if I'm Mabel, I'll stay down here! It'll be no use their putting their heads down and saying 'Come up again, dear!' I shall only look up and say 'Who am I then? Tell me that first, and then, if I like being that person, I'll come up: if not, I'll stay down here till I'm somebody else'—but, oh dear!"" cried Alice, with a sudden burst of tears, ""I do wish they would put their heads down! I am so very tired of being all alone here!""","--Oui, certes, j'y suis bien résolue, si je suis Mabel je resterai ici. Ils auront beau passer la tête là-haut et me crier, 'Reviens auprès de nous, ma chérie!' Je me contenterai de regarder en l'air et de dire, 'Dites-moi d'abord qui je suis, et, s'il me plaît d'être cette personne-là, j'irai vous trouver; sinon, je resterai ici jusqu'à ce que je devienne une autre petite fille.' --Et pourtant,"" dit Alice en fondant en larmes, ""je donnerais tout au monde pour les voir montrer la tête là-haut! Je m'ennuie tant d'être ici toute seule!""",Formal
23,"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit's little white kid gloves while she was talking. ""How can I have done that?"" she thought. ""I must be growing small again.""","Comme elle disait ces mots, elle fut bien surprise de voir que tout en parlant elle avait mis un des petits gants du Lapin. ""Comment ai-je pu mettre ce gant?"" pensa-t-elle. ""Je rapetisse donc de nouveau?""",Not Applicable
24,"She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.","Elle se leva, alla près de la table pour se mesurer, et jugea, autant qu'elle pouvait s'en rendre compte, qu'elle avait environ deux pieds de haut, et continuait de raccourcir rapidement. Bientôt elle s'aperçut que l'éventail qu'elle avait à la main en était la cause; vite elle le lâcha, tout juste à temps pour s'empêcher de disparaître tout à fait.",Not Applicable
25,"""That was a narrow escape!"" said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; ""and now for the garden!"" and she ran with all speed back to the little door: but, alas! the little door was shut again, and the little golden key was lying on the glass table as before, ""and things are worse than ever,"" thought the poor child, ""for I never was so small as this before, never! And I declare it's too bad, that it is!""","""Je viens de l'échapper belle,"" dit Alice, tout émue de ce brusque changement, mais bien aise de voir qu'elle existait encore. ""Maintenant, vite au jardin!"" --Elle se hâta de courir vers la petite porte; mais hélas! elle s'était refermée et la petite clef d'or se trouvait sur la table de verre, comme tout à l'heure. ""Les choses vont de mal en pis,"" pensa la pauvre enfant. ""Jamais je ne me suis vue si petite, jamais! Et c'est vraiment par trop fort!""",Not Applicable
26,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. Her first idea was that she had somehow fallen into the sea, ""and in that case I can go back by railway,"" she said to herself.","A ces mots son pied glissa, et flac! La voilà dans l'eau salée jusqu'au menton. Elle se crut d'abord tombée dans la mer. ""Dans ce cas je retournerai chez nous en chemin de fer,"" se dit-elle.",Not Applicable
27,"(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)","(Alice avait été au bord de la mer une fois en sa vie, et se figurait que sur n'importe quel point des côtes se trouvent un grand nombre de cabines pour les baigneurs, des enfants qui font des trous dans le sable avec des pelles en bois, une longue ligne de maisons garnies, et derrière ces maisons une gare de chemin de fer.)",Not Applicable
28,"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.","Mais elle comprit bientôt qu'elle était dans une mare formée des larmes qu'elle avait pleurées, quand elle avait neuf pieds de haut.",Not Applicable
29,"""I wish I hadn't cried so much!"" said Alice, as she swam about, trying to find her way out. ""I shall be punished for it now, I suppose, by being drowned in my own tears! That will be a queer thing, to be sure! However, everything is queer to-day.""","""Je voudrais bien n'avoir pas tant pleuré,"" dit Alice tout en nageant de côté et d'autre pour tâcher de sortir de là. ""Je vais en être punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drôle! Du reste, tout est drôle aujourd'hui.""",Not Applicable
30,"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself.","Au même instant elle entendit patauger dans la mare à quelques pas de là, et elle nagea de ce côté pour voir ce que c'était. Elle pensa d'abord que ce devait être un cheval marin ou hippopotame; puis elle se rappela combien elle était petite maintenant, et découvrit bientôt que c'était tout simplement une souris qui, comme elle, avait glissé dans la mare.",Not Applicable
31,"""Would it be of any use, now,"" thought Alice, ""to speak to this mouse? Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there's no harm in trying.""","""Si j'adressais la parole à cette souris? Tout est si extraordinaire ici qu'il se pourrait bien qu'elle sût parler: dans tous les cas, il n'y a pas de mal à essayer.""",Not Applicable
